title,id,role,current
,JosephRedshaw, (co-supervised PhD candidate&comma; since 2018)
,AlexeHaywood, (co-supervised PhD candidate&comma; since 2018)
Dr.,DinoOglic, (supervised PhD candidate in Bonn&comma; PDRA in Nottingham&comma; <a href=http://hdl.handle.net/20.500.11811/7625>thesis</a> completed '18 with <i>magna cum laude</i>), research associate at King's College London
Prof. Dr.,BertrandPerrat, (ML PDRA in the Rights Lab), Assistant Professor in Business Analytics at Nottingham University 
Prof. Dr.,NicoloNavarin, (ML PDRA in the Rights Lab), Assistant Professor in Computer Science at the University of Padova
